subscriber_id,subscription_type,activity,subscription_date,revenue,comments_all_time,comments_last_7_days,comments_last_30_days,shares_all_time,shares_last_7_days,shares_last_30_days,email_opens_all_time,email_opens_last_7_days,email_opens_last_30_days,unique_emails_seen_all_time,unique_emails_seen_last_7_days,unique_emails_seen_last_30_days,web_post_views_all_time,web_post_views_last_7_days,web_post_views_last_30_days,unique_web_post_views_all_time,uniuqe_web_post_views_last_7_days,unique_web_post_views_last_30_days,subscriptions_gifted,expires_at,subscription_source_free,subscription_source_paid,days_active_last_30_days,first_payment_at,paid_upgrade_date,cancel_date,emails_enabled_for_newsletters
129,Free,0,2022-02-18T06:06:36.596Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,www.linkedin.com,,0,,,,"Data People Etc.,"
128,Free,4,2022-02-17T19:45:01.781Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,3,2,3,3,2,3,0,,direct,,2,,,,"Data People Etc.,"
127,Free,0,2022-02-17T13:30:21.189Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,substack-reader-shared,,0,,,,"Data People Etc.,"
126,Free,0,2022-02-17T12:44:11.429Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,direct,,0,,,,"Data People Etc.,"
125,Free,0,2022-02-17T11:53:46.518Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,post-end-cta,,0,,,,"Data People Etc.,"
124,Free,1,2022-02-17T10:52:20.180Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,,substack-reader-shared,,1,,,,"Data People Etc.,"
123,Free,0,2022-02-17T09:57:10.013Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,substack-reader-profile-discovery,,0,,,,"Data People Etc.,"
122,Free,0,2022-02-17T02:33:43.451Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,direct,,0,,,,"Data People Etc.,"
121,Free,1,2022-02-16T05:13:50.499Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,1,1,1,0,,com.linkedin.android,,1,,,,"Data People Etc.,"
120,Free,0,2022-02-15T20:23:59.482Z,$0.00,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,,,,"Data People Etc.,"
